hgnc_symbol,signature
CHAC1,Hair follicle
DNAJC6,Hair follicle
DSG4,Hair follicle
GPRC5D,Hair follicle
HOXC13,Hair follicle
KRT25,Hair follicle
KRT27,Hair follicle
KRT31,Hair follicle
KRT32,Hair follicle
KRT33A,Hair follicle
KRT33B,Hair follicle
KRT34,Hair follicle
KRT35,Hair follicle
KRT36,Hair follicle
KRT40,Hair follicle
KRT71,Hair follicle
KRT74,Hair follicle
KRT75,Hair follicle
KRT81,Hair follicle
KRT82,Hair follicle
KRT83,Hair follicle
KRT85,Hair follicle
KRT86,Hair follicle
KRTAP10-11,Hair follicle
KRTAP10-12,Hair follicle
KRTAP1-1,Hair follicle
KRTAP11-1,Hair follicle
KRTAP1-3,Hair follicle
KRTAP13-1,Hair follicle
KRTAP1-5,Hair follicle
KRTAP17-1,Hair follicle
KRTAP19-1,Hair follicle
KRTAP2-1,Hair follicle
KRTAP2-2,Hair follicle
KRTAP2-3,Hair follicle
KRTAP2-4,Hair follicle
KRTAP3-1,Hair follicle
KRTAP3-2,Hair follicle
KRTAP3-3,Hair follicle
KRTAP4-1,Hair follicle
KRTAP4-11,Hair follicle
KRTAP4-12,Hair follicle
KRTAP4-2,Hair follicle
KRTAP4-3,Hair follicle
KRTAP4-4,Hair follicle
KRTAP4-5,Hair follicle
KRTAP4-6,Hair follicle
KRTAP4-7,Hair follicle
KRTAP4-8,Hair follicle
KRTAP4-9,Hair follicle
KRTAP5-8,Hair follicle
KRTAP8-1,Hair follicle
KRTAP9-2,Hair follicle
KRTAP9-3,Hair follicle
KRTAP9-4,Hair follicle
KRTAP9-9,Hair follicle
LYG2,Hair follicle
PADI3,Hair follicle
PRR9,Hair follicle
PSORS1C2,Hair follicle
S100A3,Hair follicle
TCHH,Hair follicle
ACAA1,Sebaceous gland
ACADM,Sebaceous gland
ACAT2,Sebaceous gland
ACO1,Sebaceous gland
ACOT1,Sebaceous gland
ACOX2,Sebaceous gland
ACSBG1,Sebaceous gland
ACSL1,Sebaceous gland
ACSL5,Sebaceous gland
ACSM3,Sebaceous gland
ACSS2,Sebaceous gland
AGPAT3,Sebaceous gland
ALOX15B,Sebaceous gland
APMAP,Sebaceous gland
APOC1,Sebaceous gland
ATP5G3,Sebaceous gland
AWAT1,Sebaceous gland
BCAT2,Sebaceous gland
BRI3BP,Sebaceous gland
C1orf122,Sebaceous gland
CECR2,Sebaceous gland
CHI3L1,Sebaceous gland
CIDEA,Sebaceous gland
CLMP,Sebaceous gland
CRAT,Sebaceous gland
CUX2,Sebaceous gland
CYB5A,Sebaceous gland
CYP4F2,Sebaceous gland
CYP4F8,Sebaceous gland
DDC,Sebaceous gland
DDO,Sebaceous gland
DGAT2,Sebaceous gland
DHRS9,Sebaceous gland
EBP,Sebaceous gland
ELOVL3,Sebaceous gland
ELOVL5,Sebaceous gland
FA2H,Sebaceous gland
FADS1,Sebaceous gland
FADS2,Sebaceous gland
FAR2,Sebaceous gland
FASN,Sebaceous gland
FBP1,Sebaceous gland
FDPS,Sebaceous gland
GABRA4,Sebaceous gland
GAL,Sebaceous gland
GLDC,Sebaceous gland
GLYATL1,Sebaceous gland
HACL1,Sebaceous gland
HADH,Sebaceous gland
HAO2,Sebaceous gland
HEATR4,Sebaceous gland
HGD,Sebaceous gland
HLCS,Sebaceous gland
HSD3B1,Sebaceous gland
IDH1,Sebaceous gland
IDI1,Sebaceous gland
INSIG1,Sebaceous gland
IPO5P1,Sebaceous gland
KNSTRN,Sebaceous gland
KRT79,Sebaceous gland
LDHD,Sebaceous gland
LINC01554,Sebaceous gland
MDH1,Sebaceous gland
METTL7B,Sebaceous gland
MGST1,Sebaceous gland
MOGAT1,Sebaceous gland
MOGAT2,Sebaceous gland
MPC2,Sebaceous gland
MSMO1,Sebaceous gland
MSRB1,Sebaceous gland
MVD,Sebaceous gland
NSDHL,Sebaceous gland
OLAH,Sebaceous gland
PADI4,Sebaceous gland
PCCB,Sebaceous gland
PDE6A,Sebaceous gland
PDHA1,Sebaceous gland
PECR,Sebaceous gland
PEX11A,Sebaceous gland
PGRMC1,Sebaceous gland
PKLR,Sebaceous gland
PLIN5,Sebaceous gland
PM20D1,Sebaceous gland
PNLDC1,Sebaceous gland
PNPLA5,Sebaceous gland
RDH11,Sebaceous gland
SC5D,Sebaceous gland
SEC14L4,Sebaceous gland
SGK2,Sebaceous gland
SLC25A35,Sebaceous gland
SOAT1,Sebaceous gland
SYPL2,Sebaceous gland
TF,Sebaceous gland
THRSP,Sebaceous gland
TMEM56,Sebaceous gland
TMEM91,Sebaceous gland
TMEM97,Sebaceous gland
TMPRSS11E,Sebaceous gland
TRIM55,Sebaceous gland
TST,Sebaceous gland
UBIAD1,Sebaceous gland
UPB1,Sebaceous gland
ZNF117,Sebaceous gland
ZNF43,Sebaceous gland
ZP1,Sebaceous gland
